N,points,proper,oracle,runs,max_error,max_rounds,max_queries,peel_fraction,elimination_fraction,rejection_fraction,cap_certificates,max_isotropy_residual
2,16,False,exact,16,0.001912169038,78,163,0.12857142857142856,0.1457142857142857,0.7257142857142858,39,1.5701280497992798e-08
2,16,False,endpoint,16,0.006250000021527293,78,163,0.15730337078651685,0.16104868913857678,0.6816479400749064,39,1.5701280497992798e-08
2,16,True,exact,16,0.001912169038,73,152,0.11515151515151516,0.14242424242424243,0.7424242424242424,39,1.5701280497992798e-08
2,16,True,endpoint,16,0.006250000021527293,73,152,0.1417004048582996,0.15789473684210525,0.7004048582995951,39,1.5701280497992798e-08
3,54,False,exact,16,0.001652116831,268,543,0.03344262295081967,0.050491803278688525,0.9160655737704918,92,2.1625949780945675e-08
3,54,False,endpoint,16,0.006250000021527293,224,458,0.04892966360856269,0.0652395514780836,0.8858307849133538,92,2.1625949780945675e-08
3,54,True,exact,16,0.009934887239,268,544,0.030619345859429367,0.049408489909533754,0.9199721642310369,92,2.1625949780945675e-08
3,54,True,endpoint,16,0.009934887239,218,445,0.04591265397536394,0.06494960806270997,0.8891377379619261,92,2.1625949780945675e-08
4,128,False,exact,16,0.0,667,1351,0.015248796147672551,0.025682182985553772,0.9590690208667737,163,1.0782626146399465e-06
4,128,False,endpoint,16,0.006250000021527293,667,1351,0.023126338329764455,0.03468950749464668,0.9421841541755889,163,1.0782626146399465e-06
4,128,True,exact,16,0.0,565,1139,0.015146925174189639,0.02817328082399273,0.9566797940018177,163,1.0782626146399465e-06
4,128,True,endpoint,16,0.006250000021527293,333,677,0.02476290832455216,0.0410958904109589,0.934141201264489,163,1.0782626146399465e-06
5,250,False,exact,16,0.0,3845,7701,0.005503301981188713,0.011606964178507104,0.9828897338403042,150,4.975853427180432e-06
5,250,False,endpoint,16,0.006250000021527293,923,1858,0.01381509032943677,0.025770456960680126,0.9604144527098831,150,4.975853427180432e-06
5,250,True,exact,16,0.0,3845,7702,0.005417879000702318,0.011638406742249424,0.9829437142570483,150,4.975853427180432e-06
5,250,True,endpoint,16,0.006250000021527293,923,1858,0.013647310677013648,0.025956649719025955,0.9603960396039604,150,4.975853427180432e-06
6,432,False,exact,16,0.0,2038,4086,0.006314839873703203,0.014321154713576905,0.9793640054127198,241,8.880555212281704e-06
6,432,False,endpoint,16,0.006250000021527293,834,1680,0.01073526433056512,0.022078185132671662,0.9671865505367632,241,8.880555212281704e-06
6,432,True,exact,16,0.0,2038,4087,0.006178489702517162,0.014416475972540047,0.9794050343249427,241,8.880555212281704e-06
6,432,True,endpoint,16,0.006250000021527293,834,1680,0.010605115408608859,0.022457891453524642,0.9669369931378665,241,8.880555212281704e-06
7,686,False,exact,16,0.0,7227,14464,0.00390625,0.008723958333333334,0.9873697916666667,433,2.0027665339011902e-05
7,686,False,endpoint,16,0.006250000021527293,960,1937,0.011531458628363342,0.023062917256726684,0.9654056241149099,433,2.0027665339011902e-05
7,686,True,exact,16,0.0,7227,14465,0.0037225705329153604,0.00868599791013584,0.9875914315569488,433,2.0027665339011902e-05
7,686,True,endpoint,16,0.006250000021527293,960,1937,0.011031664964249234,0.023084780388151174,0.9658835546475996,433,2.0027665339011902e-05
8,1024,False,exact,16,0.0,4190,8392,0.003153910849453322,0.007884777123633306,0.9889613120269134,617,7.5926183960572935e-06
8,1024,False,endpoint,16,0.006250000021527293,1795,3607,0.006536697247706422,0.01444954128440367,0.9790137614678899,617,7.5926183960572935e-06
8,1024,True,exact,16,0.0,4190,8393,0.0029820544224932106,0.007774641887214441,0.9892433036902923,617,7.5926183960572935e-06
8,1024,True,endpoint,16,0.006250000021527293,1795,3607,0.006253687315634218,0.014395280235988201,0.9793510324483776,617,7.5926183960572935e-06
